date,calories,carbs_total,carbs_fiber,carbs_sugar,fat_total,fat_saturated,fat_unsaturated,cholesterol,protein,potassium,sodium
2025-07-28,2663.0,174.98,6.46,168.44,146.3,70.2,70.0,0.62,162.01,1.6,0.67
2025-07-29,3218.0,218.25,12.71,200.64,172.08,71.9,67.31,1.68,229.68,3.46,1.31
2025-07-30,3188.0,222.5,12.31,195.6,183.36,80.9,85.05,1.25,221.09,3.82,1.23
2025-07-31,3509.0,199.0,17.44,174.76,225.75,103.6,93.95,1.37,232.64,5.15,1.53
2025-07-31,3509.0,199.0,17.44,174.76,225.75,103.6,93.95,1.37,232.64,5.15,1.53
2025-08-01,3888.0,257.14,20.77,215.16,227.46,95.35,94.6,1.33,241.31,5.43,1.56
2025-08-01,3888.0,257.14,20.77,215.16,227.46,95.35,94.6,1.33,241.31,5.43,1.56
2025-08-02,3711.0,218.08,20.92,191.51,218.35,90.02,93.06,1.24,262.24,6.86,1.85
2025-08-02,3711.0,218.08,20.92,191.51,218.35,90.02,93.06,1.24,262.24,6.86,1.85
2025-08-03,3633.0,250.81,18.08,227.57,205.0,84.25,105.13,1.16,261.91,5.76,1.56
2025-08-03,3633.0,250.81,18.08,227.57,205.0,84.25,105.13,1.16,261.91,5.76,1.56
2025-08-04,3440.0,232.42,19.34,209.75,200.13,81.14,34.99,1.18,257.08,6.15,1.83
2025-08-04,3440.0,232.42,19.34,209.75,200.13,81.14,34.99,1.18,257.08,6.15,1.83
2025-08-05,3511.0,231.36,20.49,206.12,215.22,93.32,103.08,1.16,254.39,6.3,1.79
2025-08-05,3511.0,231.36,20.49,206.12,215.22,93.32,103.08,1.16,254.39,6.3,1.79
2025-08-06,3432.0,252.31,8.42,232.7,191.2,76.64,99.44,1.22,257.12,5.34,1.17
